File	Lab	Experiment_type	Factor	Cell	Tissue	Datatype	Short_name	Individual	GEO_accession
UW.Fetal_Muscle_Leg.ChromatinAccessibility.H-24409.DS20239.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Muscle_Leg.H-24409	Fetal Muscle	Hotspots	Fetal_Muscle_Leg	H-24409	GSM878653
UW.Fetal_Muscle_Lower_Limb_Skeletal.ChromatinAccessibility.H-24042.DS18174.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Muscle_Lower_Limb_Skeletal.H-24042	Fetal Muscle	Hotspots	Fetal_Muscle_Lower_Limb_Skeletal	H-24042	GSM774238
UW.Fetal_Muscle_Trunk.ChromatinAccessibility.H-23941.DS17827.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Muscle_Trunk.H-23941	Fetal Muscle	Hotspots	Fetal_Muscle_Trunk	H-23941	GSM701533
UW.Fetal_Muscle_Trunk.ChromatinAccessibility.H-24409.DS20242.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Muscle_Trunk.H-24409	Fetal Muscle	Hotspots	Fetal_Muscle_Trunk	H-24409	GSM878654
UW.Fetal_Muscle_Trunk.ChromatinAccessibility.H-24507.DS20544.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Muscle_Trunk.H-24507	Fetal Muscle	Hotspots	Fetal_Muscle_Trunk	H-24507	GSM878664
UW.Fetal_Muscle_Upper_Limb_Skeletal.ChromatinAccessibility.H-23887.DS17661.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Muscle_Upper_Limb_Skeletal.H-23887	Fetal Muscle	Hotspots	Fetal_Muscle_Upper_Limb_Skeletal	H-23887	GSM701522
UW.Fetal_Muscle_Upper_Trunk.ChromatinAccessibility.H-23887.DS17664.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Muscle_Upper_Trunk.H-23887	Fetal Muscle	Hotspots	Fetal_Muscle_Upper_Trunk	H-23887	GSM774218
UW.Fetal_Placenta.ChromatinAccessibility.H-23887.DS17639.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Placenta.H-23887	Fetal Placenta	Hotspots	Fetal_Placenta	H-23887	GSM774215
UW.Fetal_Placenta.ChromatinAccessibility.H-23914.DS17744.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Placenta.H-23914	Fetal Placenta	Hotspots	Fetal_Placenta	H-23914	GSM774219
UW.Fetal_Placenta.ChromatinAccessibility.H-24272.DS19391.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Placenta.H-24272	Fetal Placenta	Hotspots	Fetal_Placenta	H-24272	GSM817219
UW.Fetal_Placenta.ChromatinAccessibility.H-24409.DS20346.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Placenta.H-24409	Fetal Placenta	Hotspots	Fetal_Placenta	H-24409	GSM878659
UW.Fetal_Renal_Cortex.ChromatinAccessibility.H-23769.DS17307.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex.H-23769	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex	H-23769	GSM701494
UW.Fetal_Renal_Cortex.ChromatinAccessibility.H-23790.DS17387.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex.H-23790	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex	H-23790	GSM701502
UW.Fetal_Renal_Cortex.ChromatinAccessibility.H-23833.DS17455.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex.H-23833	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex	H-23833	GSM701511
UW.Fetal_Renal_Cortex.ChromatinAccessibility.H-23914.DS17756.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex.H-23914	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex	H-23914	GSM701529
UW.Fetal_Renal_Cortex.ChromatinAccessibility.H-23941.DS17804.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex.H-23941	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex	H-23941	GSM701532
UW.Fetal_Renal_Cortex.ChromatinAccessibility.H-24078.DS18428.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex.H-24078	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex	H-24078	GSM817176
UW.Fetal_Renal_Cortex.ChromatinAccessibility.H-24259.DS19388.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex.H-24259	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex	H-24259	GSM878629
UW.Fetal_Renal_Cortex.ChromatinAccessibility.H-24493.DS20568.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex.H-24493	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex	H-24493	GSM878667
UW.Fetal_Renal_Cortex_Left.ChromatinAccessibility.H-23871.DS17550.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex_Left.H-23871	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex_Left	H-23871	GSM701519
UW.Fetal_Renal_Cortex_Left.ChromatinAccessibility.H-24111.DS18542.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex_Left.H-24111	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex_Left	H-24111	GSM817190
UW.Fetal_Renal_Cortex_Left.ChromatinAccessibility.H-24169.DS18931.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex_Left.H-24169	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex_Left	H-24169	GSM817203
UW.Fetal_Renal_Cortex_Left.ChromatinAccessibility.H-24232.DS19257.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex_Left.H-24232	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex_Left	H-24232	GSM817211
UW.Fetal_Renal_Cortex_Right.ChromatinAccessibility.H-23871.DS17545.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex_Right.H-23871	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex_Right	H-23871	GSM701517
UW.Fetal_Renal_Cortex_Right.ChromatinAccessibility.H-24169.DS18928.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex_Right.H-24169	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex_Right	H-24169	GSM817202
UW.Fetal_Renal_Cortex_Right.ChromatinAccessibility.H-24232.DS19254.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Cortex_Right.H-24232	Fetal Renal Cortex	Hotspots	Fetal_Renal_Cortex_Right	H-24232	GSM817210
UW.Fetal_Renal_Pelvis.ChromatinAccessibility.H-23790.DS17381.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis.H-23790	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis	H-23790	GSM701501
UW.Fetal_Renal_Pelvis.ChromatinAccessibility.H-23833.DS17451.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis.H-23833	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis	H-23833	GSM701510
UW.Fetal_Renal_Pelvis.ChromatinAccessibility.H-23914.DS17760.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis.H-23914	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis	H-23914	GSM774222
UW.Fetal_Renal_Pelvis.ChromatinAccessibility.H-24005.DS18088.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis.H-24005	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis	H-24005	GSM774236
UW.Fetal_Renal_Pelvis.ChromatinAccessibility.H-24078.DS18431.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis.H-24078	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis	H-24078	GSM817177
UW.Fetal_Renal_Pelvis.ChromatinAccessibility.H-24259.DS19386.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis.H-24259	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis	H-24259	GSM817218
UW.Fetal_Renal_Pelvis.ChromatinAccessibility.H-24477.DS20448.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis.H-24477	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis	H-24477	GSM878662
UW.Fetal_Renal_Pelvis_Left.ChromatinAccessibility.H-23871.DS17553.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis_Left.H-23871	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis_Left	H-23871	GSM701520
UW.Fetal_Renal_Pelvis_Left.ChromatinAccessibility.H-24111.DS18666.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis_Left.H-24111	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis_Left	H-24111	GSM817193
UW.Fetal_Renal_Pelvis_Left.ChromatinAccessibility.H-24169.DS18964.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis_Left.H-24169	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis_Left	H-24169	GSM817205
UW.Fetal_Renal_Pelvis_Left.ChromatinAccessibility.H-24232.DS19238.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis_Left.H-24232	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis_Left	H-24232	GSM817209
UW.Fetal_Renal_Pelvis_Right.ChromatinAccessibility.H-23871.DS17548.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis_Right.H-23871	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis_Right	H-23871	GSM701518
UW.Fetal_Renal_Pelvis_Right.ChromatinAccessibility.H-24111.DS18663.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis_Right.H-24111	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis_Right	H-24111	GSM817192
UW.Fetal_Renal_Pelvis_Right.ChromatinAccessibility.H-24169.DS18961.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis_Right.H-24169	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis_Right	H-24169	GSM817204
UW.Fetal_Renal_Pelvis_Right.ChromatinAccessibility.H-24232.DS19235.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Renal_Pelvis_Right.H-24232	Fetal Renal Pelvis	Hotspots	Fetal_Renal_Pelvis_Right	H-24232	GSM817208
UW.Fetal_Skin.ChromatinAccessibility.H-22337.DS10987.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Skin.H-22337	Fetal Skin	Hotspots	Fetal_Skin	H-22337	GSM817158
UW.Fetal_Spinal_Cord.ChromatinAccessibility.H-24111.DS18501.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Spinal_Cord.H-24111	Fetal Spinal Cord	Hotspots	Fetal_Spinal_Cord	H-24111	GSM817189
UW.Fetal_Spinal_Cord.ChromatinAccessibility.H-24409.DS20351.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Spinal_Cord.H-24409	Fetal Spinal Cord	Hotspots	Fetal_Spinal_Cord	H-24409	GSM878661
UW.Fetal_Spinal_Cord.ChromatinAccessibility.H-24493.DS20530.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Spinal_Cord.H-24493	Fetal Spinal Cord	Hotspots	Fetal_Spinal_Cord	H-24493	GSM878663
UW.Fetal_Spleen.ChromatinAccessibility.H-23399.DS17448.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Spleen.H-23399	Fetal Spleen	Hotspots	Fetal_Spleen	H-23399	GSM701509
UW.Fetal_Stomach.ChromatinAccessibility.H-23589.DS16530.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Stomach.H-23589	Fetal Stomach	Hotspots	Fetal_Stomach	H-23589	GSM774202
UW.Fetal_Stomach.ChromatinAccessibility.H-23758.DS17172.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Stomach.H-23758	Fetal Stomach	Hotspots	Fetal_Stomach	H-23758	GSM774212
UW.Fetal_Stomach.ChromatinAccessibility.H-23769.DS17325.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Stomach.H-23769	Fetal Stomach	Hotspots	Fetal_Stomach	H-23769	GSM701498
UW.Fetal_Stomach.ChromatinAccessibility.H-23887.DS17659.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Stomach.H-23887	Fetal Stomach	Hotspots	Fetal_Stomach	H-23887	GSM701521
UW.Fetal_Stomach.ChromatinAccessibility.H-23914.DS17750.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Stomach.H-23914	Fetal Stomach	Hotspots	Fetal_Stomach	H-23914	GSM701528
UW.Fetal_Stomach.ChromatinAccessibility.H-23964.DS17878.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Stomach.H-23964	Fetal Stomach	Hotspots	Fetal_Stomach	H-23964	GSM701538
UW.Fetal_Stomach.ChromatinAccessibility.H-24005.DS17963.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Stomach.H-24005	Fetal Stomach	Hotspots	Fetal_Stomach	H-24005	GSM774232
UW.Fetal_Stomach.ChromatinAccessibility.H-24078.DS18389.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Stomach.H-24078	Fetal Stomach	Hotspots	Fetal_Stomach	H-24078	GSM817173
UW.Fetal_Stomach.ChromatinAccessibility.H-24125.DS18821.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Stomach.H-24125	Fetal Stomach	Hotspots	Fetal_Stomach	H-24125	GSM817199
UW.Fetal_Stomach.ChromatinAccessibility.H-24401.DS20349.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Stomach.H-24401	Fetal Stomach	Hotspots	Fetal_Stomach	H-24401	GSM878660
UW.Fetal_Stomach.ChromatinAccessibility.H-24507.DS20546.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Stomach.H-24507	Fetal Stomach	Hotspots	Fetal_Stomach	H-24507	GSM878665
UW.Fetal_Testes.ChromatinAccessibility.H24198_H23640_H24042.DS18942.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Testes.H24198_H23640_H24042	Fetal Testes	Hotspots	Fetal_Testes	H24198_H23640_H24042	GSM878617
UW.Fetal_Thymus.ChromatinAccessibility.H-23589.DS16490.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Thymus.H-23589	Fetal Thymus	Hotspots	Fetal_Thymus	H-23589	GSM665823
UW.Fetal_Thymus.ChromatinAccessibility.H-23663.DS16841.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Thymus.H-23663	Fetal Thymus	Hotspots	Fetal_Thymus	H-23663	GSM774204
UW.Fetal_Thymus.ChromatinAccessibility.H-23769.DS17323.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Thymus.H-23769	Fetal Thymus	Hotspots	Fetal_Thymus	H-23769	GSM701497
UW.Fetal_Thymus.ChromatinAccessibility.H-23833.DS17474.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Thymus.H-23833	Fetal Thymus	Hotspots	Fetal_Thymus	H-23833	GSM701513
UW.Fetal_Thymus.ChromatinAccessibility.H-23964.DS17875.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Thymus.H-23964	Fetal Thymus	Hotspots	Fetal_Thymus	H-23964	GSM701537
UW.Fetal_Thymus.ChromatinAccessibility.H-23964.DS17876.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Thymus.H-23964	Fetal Thymus	Hotspots	Fetal_Thymus	H-23964	GSM774230
UW.Fetal_Thymus.ChromatinAccessibility.H-24078.DS18382.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Thymus.H-24078	Fetal Thymus	Hotspots	Fetal_Thymus	H-24078	GSM817172
UW.Fetal_Thymus.ChromatinAccessibility.H-24259.DS19287.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Thymus.H-24259	Fetal Thymus	Hotspots	Fetal_Thymus	H-24259	GSM878627
UW.Fetal_Thymus.ChromatinAccessibility.H-24401.DS20335.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Thymus.H-24401	Fetal Thymus	Hotspots	Fetal_Thymus	H-24401	GSM878656
UW.Fetal_Thymus.ChromatinAccessibility.H-24409.DS20341.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fetal_Thymus.H-24409	Fetal Thymus	Hotspots	Fetal_Thymus	H-24409	GSM878657
UW.Fibroblasts_Fetal_Skin_Abdomen.ChromatinAccessibility.H-24259.DS19558.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Abdomen.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Abdomen	H-24259	GSM878635
UW.Fibroblasts_Fetal_Skin_Abdomen.ChromatinAccessibility.H-24259.DS19561.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Abdomen.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Abdomen	H-24259	GSM878636
UW.Fibroblasts_Fetal_Skin_Back.ChromatinAccessibility.H-24218.DS19233.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Back.H-24218	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Back	H-24218	GSM878624
UW.Fibroblasts_Fetal_Skin_Biceps_Left.ChromatinAccessibility.H-24259.DS19857.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Biceps_Left.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Biceps_Left	H-24259	GSM878644
UW.Fibroblasts_Fetal_Skin_Biceps_Left.ChromatinAccessibility.H-24259.DS19867.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Biceps_Left.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Biceps_Left	H-24259	GSM878645
UW.Fibroblasts_Fetal_Skin_Biceps_Right.ChromatinAccessibility.H-24259.DS19745.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Biceps_Right.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Biceps_Right	H-24259	GSM878642
UW.Fibroblasts_Fetal_Skin_Biceps_Right.ChromatinAccessibility.H-24259.DS19761.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Biceps_Right.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Biceps_Right	H-24259	GSM878643
UW.Fibroblasts_Fetal_Skin_Quadriceps_Left.ChromatinAccessibility.H-24259.DS20046.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Quadriceps_Left.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Quadriceps_Left	H-24259	GSM878648
UW.Fibroblasts_Fetal_Skin_Quadriceps_Left.ChromatinAccessibility.H-24259.DS20056.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Quadriceps_Left.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Quadriceps_Left	H-24259	GSM878649
UW.Fibroblasts_Fetal_Skin_Quadriceps_Right.ChromatinAccessibility.H-24259.DS19943.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Quadriceps_Right.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Quadriceps_Right	H-24259	GSM878646
UW.Fibroblasts_Fetal_Skin_Quadriceps_Right.ChromatinAccessibility.H-24259.DS19948.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Quadriceps_Right.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Quadriceps_Right	H-24259	GSM878647
UW.Fibroblasts_Fetal_Skin_Scalp.ChromatinAccessibility.H-24259.DS19444.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Scalp.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Scalp	H-24259	GSM878633
UW.Fibroblasts_Fetal_Skin_Scalp.ChromatinAccessibility.H-24259.DS19449.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Scalp.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Scalp	H-24259	GSM878634
UW.Fibroblasts_Fetal_Skin_Upper_Back.ChromatinAccessibility.H-24259.DS19696.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Upper_Back.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Upper_Back	H-24259	GSM878640
UW.Fibroblasts_Fetal_Skin_Upper_Back.ChromatinAccessibility.H-24259.DS19706.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Fibroblasts_Fetal_Skin_Upper_Back.H-24259	Fibroblast	Hotspots	Fibroblasts_Fetal_Skin_Upper_Back	H-24259	GSM878641
UW.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.ChromatinAccessibility.DS18732.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ES Cell	Hotspots	Mesendoderm_Cultured_Cells	NA	GSM817198
UW.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.ChromatinAccessibility.DS19310.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ES Cell	Hotspots	Mesendoderm_Cultured_Cells	NA	GSM817215
UW.H1_BMP4_Derived_Trophoblast_Cultured_Cells.ChromatinAccessibility.DS18736.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ES Cell	Hotspots	Trophoblast_Cultured_Cells	NA	GSM878614
UW.H1_BMP4_Derived_Trophoblast_Cultured_Cells.ChromatinAccessibility.DS19317.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ES Cell	Hotspots	Trophoblast_Cultured_Cells	NA	GSM878628
UW.H1.ChromatinAccessibility.DS18873.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	H1	ES Cell	Hotspots	H1	NA	GSM878616
UW.H1.ChromatinAccessibility.DS19100.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	H1	ES Cell	Hotspots	H1	NA	GSM878621
UW.H1_Derived_Mesenchymal_Stem_Cells.ChromatinAccessibility.DS20671.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	H1_Derived_Mesenchymal_Stem_Cells	ES Cell	Hotspots	Mesenchymal_Stem_Cells	NA	GSM906380
UW.H1_Derived_Mesenchymal_Stem_Cells.ChromatinAccessibility.DS21042.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	H1_Derived_Mesenchymal_Stem_Cells	ES Cell	Hotspots	Mesenchymal_Stem_Cells	NA	GSM906381
UW.H1_Derived_Neuronal_Progenitor_Cultured_Cells.ChromatinAccessibility.DS18739.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	H1_Derived_Neuronal_Progenitor_Cultured_Cells	ES Cell	Hotspots	Neuronal_Progenitor_Cultured_Cells	NA	GSM878615
UW.H1_Derived_Neuronal_Progenitor_Cultured_Cells.ChromatinAccessibility.DS20153.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	H1_Derived_Neuronal_Progenitor_Cultured_Cells	ES Cell	Hotspots	Neuronal_Progenitor_Cultured_Cells	NA	GSM906379
UW.H9.ChromatinAccessibility.DS18517.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	H9	ES cell	Hotspots	H9	NA	GSM878612
UW.H9.ChromatinAccessibility.DS18522.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	H9	ES cell	Hotspots	H9	NA	GSM878613
UW.IMR90.ChromatinAccessibility.DS11759.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	IMR90	Lung	Hotspots	IMR90	NA	GSM468792
UW.IMR90.ChromatinAccessibility.DS11764.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	IMR90	Lung	Hotspots	IMR90	NA	GSM468801
UW.IMR90.ChromatinAccessibility.DS13219.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	IMR90	Lung	Hotspots	IMR90	NA	GSM530665
UW.IMR90.ChromatinAccessibility.DS13229.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	IMR90	Lung	Hotspots	IMR90	NA	GSM530666
UW.iPS_DF_19.11.ChromatinAccessibility.DS15153.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	iPS_DF_19.11	IPS cell	Hotspots	iPS_DF_19.11	NA	GSM665801
UW.iPS_DF_19.7.ChromatinAccessibility.DS15148.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	iPS_DF_19.7	IPS cell	Hotspots	iPS_DF_19.7	NA	GSM665800
UW.iPS_DF_4.7.ChromatinAccessibility.DS15169.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	iPS_DF_4.7	IPS cell	Hotspots	iPS_DF_4.7	NA	GSM665803
UW.iPS_DF_6.9.ChromatinAccessibility.DS15164.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	iPS_DF_6.9	IPS cell	Hotspots	iPS_DF_6.9	NA	GSM665802
UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Mobilized_CD34_Primary_Cells.RO_00738+	Blood	Hotspots	CD34_Mobilised;	RO_00738+	GSM530664
UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Mobilized_CD34_Primary_Cells.RO_01480+	Blood	Hotspots	CD34_Mobilised;	RO_01480+	GSM530658
